id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,year
829705,2015,Kolkata,2015-04-08,League,M Morkel,Eden Gardens,KKR,MI,KKR,field,KKR,wickets,7.0,169.0,20.0,N,,S Ravi,C Shamshuddin,2015
829707,2015,Chennai,2015-04-09,League,A Nehra,MA Chidambaram Stadium,CSK,DC,DC,field,CSK,runs,1.0,151.0,20.0,N,,RK Illingworth,VA Kulkarni,2015
829709,2015,Pune,2015-04-10,League,JP Faulkner,Maharashtra Cricket Association Stadium,PBKS,RR,PBKS,field,RR,runs,26.0,163.0,20.0,N,,SD Fry,CB Gaffaney,2015
829711,2015,Chennai,2015-04-11,League,BB McCullum,MA Chidambaram Stadium,CSK,SRH,CSK,bat,CSK,runs,45.0,210.0,20.0,N,,RK Illingworth,VA Kulkarni,2015
829713,2015,Kolkata,2015-04-11,League,CH Gayle,Eden Gardens,KKR,RCB,RCB,field,RCB,wickets,3.0,178.0,20.0,N,,S Ravi,C Shamshuddin,2015
829715,2015,Delhi,2015-04-12,League,DJ Hooda,Feroz Shah Kotla,DC,RR,RR,field,RR,wickets,3.0,185.0,20.0,N,,SD Fry,CB Gaffaney,2015
829717,2015,Mumbai,2015-04-12,League,GJ Bailey,Wankhede Stadium,MI,PBKS,MI,field,PBKS,runs,18.0,178.0,20.0,N,,AK Chaudhary,K Srinivasan,2015
829719,2015,Bangalore,2015-04-13,League,DA Warner,M Chinnaswamy Stadium,RCB,SRH,SRH,field,SRH,wickets,8.0,167.0,20.0,N,,RM Deshpande,RK Illingworth,2015
829721,2015,Ahmedabad,2015-04-14,League,SPD Smith,Narendra Modi Stadium,RR,MI,MI,bat,RR,wickets,7.0,165.0,20.0,N,,AK Chaudhary,SD Fry,2015
829725,2015,Pune,2015-04-15,League,MA Agarwal,Maharashtra Cricket Association Stadium,PBKS,DC,PBKS,bat,DC,wickets,5.0,166.0,20.0,N,,CB Gaffaney,K Srinath,2015
829727,2015,Visakhapatnam,2015-04-16,League,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,SRH,RR,RR,field,RR,wickets,6.0,128.0,20.0,N,,PG Pathak,S Ravi,2015
829729,2015,Mumbai,2015-04-17,League,A Nehra,Wankhede Stadium,MI,CSK,MI,bat,CSK,wickets,6.0,184.0,20.0,N,,AK Chaudhary,M Erasmus,2015
829731,2015,Visakhapatnam,2015-04-18,League,JP Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,SRH,DC,DC,bat,DC,runs,4.0,168.0,20.0,N,,PG Pathak,S Ravi,2015
829733,2015,Pune,2015-04-18,League,AD Russell,Maharashtra Cricket Association Stadium,PBKS,KKR,KKR,field,KKR,wickets,4.0,156.0,20.0,N,,SD Fry,CK Nandan,2015
829735,2015,Ahmedabad,2015-04-19,League,AM Rahane,Narendra Modi Stadium,RR,CSK,CSK,bat,RR,wickets,8.0,157.0,20.0,N,,AK Chaudhary,M Erasmus,2015
829737,2015,Bangalore,2015-04-19,League,Harbhajan Singh,M Chinnaswamy Stadium,RCB,MI,RCB,field,MI,runs,18.0,210.0,20.0,N,,RK Illingworth,VA Kulkarni,2015
829739,2015,Delhi,2015-04-20,League,UT Yadav,Feroz Shah Kotla,DC,KKR,KKR,field,KKR,wickets,6.0,147.0,20.0,N,,SD Fry,CB Gaffaney,2015
829741,2015,Ahmedabad,2015-04-21,League,SE Marsh,Narendra Modi Stadium,RR,PBKS,PBKS,field,PBKS,tie,,192.0,20.0,Y,,M Erasmus,S Ravi,2015
829743,2015,Visakhapatnam,2015-04-22,League,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,SRH,KKR,KKR,field,SRH,runs,16.0,118.0,12.0,N,D/L,RK Illingworth,VA Kulkarni,2015
829745,2015,Bangalore,2015-04-22,League,SK Raina,M Chinnaswamy Stadium,RCB,CSK,RCB,field,CSK,runs,27.0,182.0,20.0,N,,JD Cloete,C Shamshuddin,2015
829747,2015,Delhi,2015-04-23,League,SS Iyer,Feroz Shah Kotla,DC,MI,MI,field,DC,runs,37.0,191.0,20.0,N,,SD Fry,CK Nandan,2015
829749,2015,Ahmedabad,2015-04-24,League,MA Starc,Narendra Modi Stadium,RR,RCB,RCB,field,RCB,wickets,9.0,131.0,20.0,N,,M Erasmus,S Ravi,2015
829751,2015,Mumbai,2015-04-25,League,SL Malinga,Wankhede Stadium,MI,SRH,MI,bat,MI,runs,20.0,158.0,20.0,N,,HDPK Dharmasena,CB Gaffaney,2015
829753,2015,Chennai,2015-04-25,League,BB McCullum,MA Chidambaram Stadium,CSK,PBKS,CSK,bat,CSK,runs,97.0,193.0,20.0,N,,JD Cloete,C Shamshuddin,2015
829757,2015,Delhi,2015-04-26,League,VR Aaron,Feroz Shah Kotla,DC,RCB,RCB,field,RCB,wickets,10.0,96.0,20.0,N,,M Erasmus,S Ravi,2015
